	x軸　	y軸	press
	209.0 	259.4 	0.457 
	208.0 	263.4 	0.490 
	206.0 	266.6 	0.519 
	205.0 	268.2 	0.527 
	202.0 	273.0 	0.544 
	198.0 	277.8 	0.573 
	198.0 	278.6 	0.573 
	197.0 	278.6 	0.600 
	196.0 	278.6 	0.602 
	196.0 	277.8 	0.588 
	195.0 	277.0 	0.571 
	192.0 	273.0 	0.452 
	191.0 	269.8 	0.164 
	191.0 	269.8 	0.000 
	188.0 	237.0 	0.132 
	187.0 	236.2 	0.209 
	187.0 	237.0 	0.258 
	187.0 	237.8 	0.347 
	187.0 	239.4 	0.402 
	186.0 	249.8 	0.490 
	186.0 	251.4 	0.498 
	186.0 	255.4 	0.513 
	185.0 	260.2 	0.537 
	184.0 	262.6 	0.548 
	183.0 	267.4 	0.555 
	183.0 	268.2 	0.555 
	181.0 	272.2 	0.556 
	181.0 	273.8 	0.558 
	180.0 	274.6 	0.558 
	183.0 	269.8 	0.011 
	183.0 	269.8 	0.000 
	216.0 	224.2 	0.152 
	219.0 	228.2 	0.347 
	220.0 	229.0 	0.357 
	221.0 	230.6 	0.396 
	225.0 	236.2 	0.464 
	226.0 	237.8 	0.477 
	228.0 	241.0 	0.489 
	231.0 	244.2 	0.496 
	233.0 	248.2 	0.515 
	236.0 	252.2 	0.531 
	238.0 	254.6 	0.540 
	240.0 	257.0 	0.545 
	240.0 	257.8 	0.545 
	243.0 	261.0 	0.562 
	244.0 	263.4 	0.577 
	244.0 	269.0 	0.607 
	244.0 	267.4 	0.471 
	244.0 	264.2 	0.046 
	244.0 	264.2 	0.000 
