	x軸　	y軸	press
1	60.8 	225.0 	0.031 
2	59.2 	225.0 	0.322 
3	60.0 	225.0 	0.447 
4	61.6 	224.2 	0.447 
5	63.2 	223.4 	0.450 
6	65.6 	221.8 	0.450 
7	69.6 	220.2 	0.450 
8	76.8 	217.0 	0.454 
9	80.8 	215.4 	0.455 
10	84.0 	213.8 	0.455 
11	87.2 	212.2 	0.455 
12	90.4 	211.4 	0.455 
13	93.6 	209.8 	0.467 
14	96.0 	209.0 	0.472 
15	96.8 	208.2 	0.472 
16	96.0 	208.2 	0.136 
17	96.0 	208.2 	0.000 
18	86.4 	201.0 	0.021 
19	85.6 	201.0 	0.340 
20	84.8 	201.8 	0.384 
21	84.0 	204.2 	0.395 
22	83.2 	206.6 	0.401 
23	82.4 	210.6 	0.413 
24	82.4 	214.6 	0.426 
25	81.6 	223.4 	0.440 
26	81.6 	229.0 	0.451 
27	81.6 	235.4 	0.461 
28	81.6 	241.0 	0.469 
29	81.6 	247.4 	0.479 
30	82.4 	256.2 	0.483 
31	83.2 	261.0 	0.487 
32	84.0 	265.8 	0.492 
33	84.8 	270.6 	0.499 
34	86.4 	276.2 	0.504 
35	87.2 	279.4 	0.503 
36	88.0 	281.8 	0.503 
37	88.8 	283.4 	0.500 
38	89.6 	285.0 	0.486 
39	90.4 	285.8 	0.420 
40	91.2 	285.8 	0.294 
41	91.2 	285.8 	0.000 
42	100.0 	233.8 	0.043 
43	100.0 	234.6 	0.426 
44	100.0 	235.4 	0.427 
45	100.0 	236.2 	0.429 
46	99.2 	239.4 	0.434 
47	98.4 	243.4 	0.437 
48	96.8 	249.0 	0.442 
49	95.2 	253.8 	0.452 
50	92.8 	260.2 	0.458 
51	91.2 	264.2 	0.463 
52	89.6 	268.2 	0.468 
53	87.2 	273.0 	0.471 
54	84.8 	277.0 	0.473 
55	82.4 	282.6 	0.476 
56	81.6 	284.2 	0.477 
57	79.2 	288.2 	0.478 
58	78.4 	289.8 	0.478 
59	77.6 	291.4 	0.479 
60	76.8 	292.2 	0.479 
61	76.0 	292.2 	0.486 
62	75.2 	291.4 	0.486 
63	75.2 	290.6 	0.486 
64	73.6 	285.8 	0.479 
65	73.6 	283.4 	0.477 
66	73.6 	280.2 	0.477 
67	73.6 	277.0 	0.475 
68	74.4 	275.4 	0.472 
69	75.2 	272.2 	0.470 
70	76.8 	269.0 	0.464 
71	79.2 	265.8 	0.461 
72	81.6 	262.6 	0.454 
73	83.2 	261.0 	0.452 
74	84.8 	258.6 	0.451 
75	89.6 	253.0 	0.453 
76	92.0 	251.4 	0.453 
77	92.8 	249.8 	0.451 
78	94.4 	249.0 	0.448 
79	96.0 	48.2 	0.448 
80	98.4 	46.6 	0.448 
81	100.0 	245.8 	0.448 
82	101.0 	245.0 	0.444 
83	103.0 	245.0 	0.445 
84	106.0 	245.0 	0.449 
85	109.0 	245.0 	0.453 
86	110.0 	245.0 	0.453 
87	111.0 	245.0 	0.456 
88	112.0 	245.8 	0.456 
89	112.0 	246.6 	0.462 
90	113.0 	248.2 	0.473 
91	115.0 	249.0 	0.478 
92	116.0 	250.6 	0.480 
93	116.0 	251.4 	0.480 
94	117.0 	253.0 	0.485 
95	118.0 	257.0 	0.498 
96	118.0 	261.8 	0.515 
97	118.0 	262.6 	0.518 
98	118.0 	264.2 	0.523 
99	117.0 	265.8 	0.532 
100	117.0 	268.2 	0.542 
101	116.0 	271.4 	0.562 
102	116.0 	273.0 	0.565 
103	114.0 	275.4 	0.569 
104	113.0 	276.2 	0.571 
105	112.0 	277.8 	0.571 
106	112.0 	279.4 	0.571 
107	112.0 	280.2 	0.568 
108	112.0 	274.6 	0.023 
109	112.0 	274.6 	0.000 
110	176.0 	253.0 	0.140 
111	175.0 	253.0 	0.311 
112	176.0 	253.0 	0.352 
113	177.0 	252.2 	0.360 
114	178.0 	251.4 	0.360 
115	179.0 	250.6 	0.362 
116	182.0 	249.0 	0.363 
117	187.0 	246.6 	0.363 
118	191.0 	245.0 	0.356 
119	194.0 	244.2 	0.343 
120	196.0 	242.6 	0.330 
121	200.0 	241.0 	0.326 
122	202.0 	240.2 	0.328 
123	204.0 	239.4 	0.328 
124	207.0 	238.6 	0.328 
125	210.0 	241.8 	0.345 
126	210.0 	245.8 	0.364 
127	210.0 	248.2 	0.387 
128	210.0 	252.2 	0.413 
	210.0 	255.4 	0.438 
